Tissue_ID,Longitude,Latitude,Source Database Pop,Island and Site
QTo-W-0162,-120.0615386,33.98192099,SR-G,Santa Rosa Grove 6 Down Hill across gully
QTo-W-0163,-120.0615386,33.98192099,SR-G,Santa Rosa Grove 6 Down Hill across gully
QTo-W-0164,-120.0615386,33.98192099,SR-G,Santa Rosa Grove 6 Down Hill across gully
QTo-W-0165,-120.0904856,33.97959219,SR-G,Santa Rosa Grove 6 Down Hill across gully
QTo-W-0166,-120.0904856,33.97959219,SR-G,Santa Rosa Grove 6 Down Hill across gully
QTo-W-0167,-120.0904856,33.97959219,SR-G,Santa Rosa Grove 6 Down Hill across gully
QTo-W-0168,-120.0904856,33.97959219,SR-G,Santa Rosa Grove 6 Down Hill across gully
QTo-W-0169,-120.0904856,33.97959219,SR-G,Santa Rosa Grove 6 Down Hill across gully
QTo-W-0170,-120.0869711,33.97904951,SR-G,Santa Rosa Grove 6 Down Hill across gully
QTo-W-0171,-120.0869711,33.97904951,SR-G,Santa Rosa Grove 6 Down Hill across gully
QTo-W-0172,-120.0869711,33.97904951,SR-G,Santa Rosa Grove 6 Down Hill across gully
QTo-W-0173,-120.0869711,33.97904951,SR-G,Santa Rosa Grove 6 Down Hill across gully
QTo-W-0174,-120.0869711,33.97904951,SR-G,Santa Rosa Grove 6 Down Hill across gully
QTo-W-0175,-120.096165,33.97478904,SR-G,Santa Rosa Grove 6 Down Hill across gully
QTo-W-0176,-120.096165,33.97478904,SR-G,Santa Rosa Grove 6 Down Hill across gully
QTo-W-0177,-120.096165,33.97478904,SR-G,Santa Rosa Grove 6 Down Hill across gully
QTo-W-0178,-120.0960985,33.97474565,SR-G,Santa Rosa Grove 6 Down Hill across gully
QTo-W-0179,-120.096165,33.97478904,SR-G,Santa Rosa Grove 6 Down Hill across gully
QTo-W-0180,-120.0881952,33.97041938,SR-G,Santa Rosa Grove 6 Down Hill across gully
QTo-W-0181,-120.0879928,33.96991066,SR-G,Santa Rosa Grove 6 Down Hill across gully
QTo-W-0182,-120.0881621,33.97040218,SR-G,Santa Rosa Grove 6 Down Hill across gully
QTo-W-0183,-120.0878368,33.97068077,SR-G,Santa Rosa Grove 6 Down Hill across gully
QTo-W-0184,-120.0878368,33.97068077,SR-G,Santa Rosa Grove 6 Down Hill across gully
QTo-W-0185,-120.0878368,33.97068077,SR-G,Santa Rosa Grove 6 Down Hill across gully
QTo-W-0186,-120.0880573,33.97049495,SR-G,Santa Rosa Grove 6 Down Hill across gully
QTo-W-0187,-120.0880573,33.97049495,SR-G,Santa Rosa Grove 6 Down Hill across gully
QTo-W-0188,-120.0880573,33.97049495,SR-G,Santa Rosa Grove 6 Down Hill across gully
QTo-W-0189,-120.0880573,33.97049495,SR-G,Santa Rosa Grove 6 Down Hill across gully
QTo-W-0190,-120.0880573,33.97049495,SR-G,Santa Rosa Grove 6 Down Hill across gully
QTo-W-0191,-120.0880573,33.97049495,SR-G,Santa Rosa Grove 6 Down Hill across gully
QTo-W-0192,-120.0882292,33.97046359,SR-G,Santa Rosa Grove 6 Down Hill across gully
QTo-W-0193,-120.0882292,33.97046359,SR-G,Santa Rosa Grove 6 Down Hill across gully
QTo-W-0194,-120.0882292,33.97046359,SR-G,Santa Rosa Grove 6 Down Hill across gully
QTo-W-0195,-120.0882292,33.97046359,SR-G,Santa Rosa Grove 6 Down Hill across gully
QTo-W-0196,-120.0882292,33.97046359,SR-G,Santa Rosa Grove 6 Down Hill across gully
QTo-W-0197,-120.0882292,33.97046359,SR-G,Santa Rosa Grove 6 Down Hill across gully
QTo-W-0198,-118.3145165,33.32934353,,Catalina Pebbly beach Renton Mine
QTo-W-0199,-118.3140897,33.32953744,,Catalina Pebbly beach Renton Mine
QTo-W-0200,-118.3141752,33.32950948,,Catalina Pebbly beach Renton Mine
QTo-W-0201,-118.3142832,33.32954441,,Catalina Pebbly beach Renton Mine
QTo-W-0202,-118.3141752,33.32950948,,Catalina Pebbly beach Renton Mine
QTo-W-0203,-118.3141955,33.3294281,,Catalina Pebbly beach Renton Mine
QTo-W-0204,-118.3619545,33.35859473,,Catalina Gallagnen Canyon
QTo-W-0205,-118.3620663,33.35887309,,Catalina Gallagnen Canyon
QTo-W-0206,-118.3620534,33.35873795,,Catalina Gallagnen Canyon
QTo-W-0207,-118.3617926,33.35924587,,Catalina Gallagnen Canyon
QTo-W-0208,-118.3618789,33.35926296,,Catalina Gallagnen Canyon
QTo-W-0209,-118.361879,33.35927198,,Catalina Gallagnen Canyon
QTo-W-0210,-118.3619995,33.35941496,,Catalina Gallagnen Canyon
QTo-W-0211,-118.3619237,33.35937971,,Catalina Gallagnen Canyon
QTo-W-0212,-118.3617822,33.35926402,,Catalina Gallagnen Canyon
QTo-W-0213,-118.3619068,33.35898307,,Catalina Gallagnen Canyon
QTo-W-0214,-118.3618765,33.35910967,,Catalina Gallagnen Canyon
QTo-W-0215,-118.3617013,33.35958959,,Catalina Gallagnen Canyon
QTo-W-0216,-118.428132,33.37412092,C-MtO,Catalina Mt. Orizaba
QTo-W-0217,-118.428132,33.37412092,C-MtO,Catalina Mt. Orizaba
QTo-W-0218,-118.428132,33.37412092,C-MtO,Catalina Mt. Orizaba
QTo-W-0219,-118.428132,33.37412092,C-MtO,Catalina Mt. Orizaba
QTo-W-0220,-118.428132,33.37412092,C-MtO,Catalina Mt. Orizaba
QTo-W-0221,-118.428132,33.37412092,C-MtO,Catalina Mt. Orizaba
